	BPM	SpO2	Pleth
3.14	71	99	72
5.2	81	99	45
7.27	91	98	44
9.31	93	99	55
12.4	93	98	15
15.52	86	98	67
17.56	89	98	5
20.69	89	98	46
22.74	86	97	56
24.78	87	97	56
26.84	87	97	6
29.98	74	97	5
32.03	74	97	26
35.17	76	98	28
36.14	76	98	50
38.2	82	98	87
41.29	77	98	94
43.34	85	98	95
46.46	85	98	54
48.5	83	98	89
50.56	83	98	58
